Campaign_ID,Company,Campaign_Type,Target_Audience,Gender,Age,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
20,DataTech Solutions,Influencer,Men 25-34,Men,25-34,15 days,Google Ads,0.09,10258,3.83,Miami,French,193,3677,1,Tech Enthusiasts,20/01/21
21,DataTech Solutions,Search,Women 25-34,Women,25-34,15 days,Email,0.04,16580,7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,21/01/21
22,TechCorp,Influencer,All Ages,All,All Ages,30 days,Facebook,0.02,12824,6.21,New York,French,319,8586,2,Foodies,22/01/21
23,NexGen Systems,Social Media,Women 35-44,Women,35-44,15 days,YouTube,0.13,8699,2.12,Miami,French,646,3841,5,Health & Wellness,23/01/21
24,Innovate Industries,Email,Women 25-34,Women,25-34,15 days,Facebook,0.04,17608,7.31,Miami,Spanish,764,2157,8,Health & Wellness,24/01/21
25,NexGen Systems,Social Media,Men 18-24,Men,18-24,60 days,YouTube,0.07,8773,6.03,Miami,Mandarin,527,1733,1,Fashionistas,25/01/21
26,NexGen Systems,Search,Women 25-34,Women,25-34,45 days,Instagram,0.04,14756,6.23,Houston,English,809,8236,10,Health & Wellness,26/01/21
27,Alpha Innovations,Email,Women 25-34,Women,25-34,45 days,Facebook,0.09,9182,6.03,Houston,English,953,6916,5,Fashionistas,27/01/21
28,TechCorp,Email,Men 25-34,Men,25-34,30 days,YouTube,0.07,6601,3.29,New York,Spanish,604,2420,3,Foodies,28/01/21
29,TechCorp,Influencer,Men 18-24,Men,18-24,60 days,Email,0.09,11552,7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,29/01/21
30,TechCorp,Social Media,Women 25-34,Women,25-34,30 days,Email,0.09,11608,3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,30/01/21
31,Innovate Industries,Search,Men 25-34,Men,25-34,45 days,Instagram,0.07,13124,2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,31/01/21
32,NexGen Systems,Influencer,All Ages,All,All Ages,45 days,YouTube,0.07,13245,6.83,New York,English,309,2885,7,Foodies,02/01/21
33,NexGen Systems,Display,Women 35-44,Women,35-44,45 days,Email,0.06,5796,4.42,New York,Spanish,367,3218,9,Foodies,02/02/21
34,Alpha Innovations,Influencer,Women 25-34,Women,25-34,45 days,Google Ads,0.14,15082,2.71,Los Angeles,German,243,5724,4,Health & Wellness,02/03/21
35,NexGen Systems,Influencer,Men 18-24,Men,18-24,30 days,YouTube,0.07,18332,7.81,Houston,Spanish,360,5349,6,Fashionistas,02/04/21
36,TechCorp,Display,Men 25-34,Men,25-34,60 days,Instagram,0.09,13256,2.51,Miami,German,250,7373,3,Health & Wellness,02/05/21
37,DataTech Solutions,Display,All Ages,All,All Ages,45 days,Email,0.04,15779,7.24,New York,Spanish,822,7152,1,Foodies,02/06/21
38,Innovate Industries,Influencer,Men 18-24,Men,18-24,60 days,Facebook,0.06,7683,2.62,Houston,French,833,9772,8,Tech Enthusiasts,02/07/21
39,Innovate Industries,Search,Men 25-34,Men,25-34,30 days,Instagram,0.11,14742,2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,02/08/21
40,Innovate Industries,Search,Men 18-24,Men,18-24,45 days,Google Ads,0.08,15495,6.97,Chicago,German,268,5495,6,Fashionistas,02/09/21
41,DataTech Solutions,Social Media,All Ages,All,All Ages,30 days,Website,0.04,18684,4.57,New York,French,212,4718,4,Foodies,02/10/21
42,Alpha Innovations,Search,Men 25-34,Men,25-34,45 days,Email,0.01,13096,3.44,Los Angeles,French,360,2776,1,Foodies,02/11/21
43,Innovate Industries,Display,Men 25-34,Men,25-34,60 days,Instagram,0.09,7818,5.6,Houston,French,598,8637,5,Fashionistas,02/12/21
44,Innovate Industries,Display,All Ages,All,All Ages,30 days,Instagram,0.09,8214,4.77,Chicago,English,988,1612,5,Fashionistas,13/02/21
45,DataTech Solutions,Email,Men 18-24,Men,18-24,45 days,Google Ads,0.04,6882,3.31,Miami,English,282,8038,7,Tech Enthusiasts,14/02/21
46,NexGen Systems,Display,Women 35-44,Women,35-44,60 days,Google Ads,0.03,13470,6.8,Miami,English,992,8036,8,Health & Wellness,15/02/21
47,DataTech Solutions,Search,Men 25-34,Men,25-34,60 days,YouTube,0.06,14948,7.4,New York,French,903,3940,3,Foodies,16/02/21
48,Innovate Industries,Social Media,Men 18-24,Men,18-24,60 days,Instagram,0.04,15255,3.8,Chicago,French,629,1824,3,Health & Wellness,17/02/21
49,TechCorp,Display,All Ages,All,All Ages,60 days,Facebook,0.1,9510,5.25,Houston,French,190,2071,4,Tech Enthusiasts,18/02/21
50,TechCorp,Social Media,Women 25-34,Women,25-34,45 days,Email,0.11,7521,3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,19/02/21
51,NexGen Systems,Search,Men 25-34,Men,25-34,60 days,Facebook,0.12,10405,5.79,Los Angeles,French,134,8463,9,Foodies,20/02/21
52,NexGen Systems,Search,Men 25-34,Men,25-34,15 days,Website,0.1,15955,6.48,Houston,French,657,9831,7,Foodies,21/02/21
53,TechCorp,Email,Men 18-24,Men,18-24,30 days,Facebook,0.13,15428,7.62,Houston,French,385,4937,6,Tech Enthusiasts,22/02/21
54,NexGen Systems,Display,Women 35-44,Women,35-44,45 days,YouTube,0.02,19832,3.35,New York,English,537,4739,9,Outdoor Adventurers,23/02/21
55,NexGen Systems,Social Media,Men 18-24,Men,18-24,30 days,YouTube,0.05,17375,6.15,Miami,Spanish,450,6012,7,Foodies,24/02/21
56,NexGen Systems,Display,Men 25-34,Men,25-34,15 days,Website,0.13,8903,3.7,Miami,English,178,8529,9,Health & Wellness,25/02/21
57,NexGen Systems,Email,Women 35-44,Women,35-44,15 days,Website,0.04,14511,6.66,Chicago,English,164,2122,8,Foodies,26/02/21
58,Innovate Industries,Email,Men 18-24,Men,18-24,60 days,Email,0.06,17305,2.7,New York,French,569,1850,2,Fashionistas,27/02/21
59,Alpha Innovations,Email,Women 25-34,Women,25-34,45 days,Email,0.04,18063,4.93,Chicago,English,330,6920,6,Foodies,28/02/21
60,Innovate Industries,Display,Men 25-34,Men,25-34,15 days,Email,0.05,10293,6.8,Miami,French,256,3421,9,Health & Wellness,03/01/21
61,DataTech Solutions,Email,Men 25-34,Men,25-34,45 days,Email,0.05,8785,2.27,New York,German,849,9217,5,Fashionistas,03/02/21
62,TechCorp,Email,Men 25-34,Men,25-34,30 days,Email,0.09,13848,5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,03/03/21
63,Innovate Industries,Influencer,Women 35-44,Women,35-44,60 days,Email,0.01,14435,7.04,Houston,Mandarin,592,3596,4,Foodies,03/04/21
64,NexGen Systems,Search,Men 18-24,Men,18-24,30 days,Facebook,0.02,14001,3.71,Chicago,English,201,8702,10,Outdoor Adventurers,03/05/21
65,DataTech Solutions,Display,All Ages,All,All Ages,45 days,Website,0.11,8841,7.43,Houston,French,648,9122,9,Fashionistas,03/06/21
66,NexGen Systems,Search,All Ages,All,All Ages,60 days,YouTube,0.04,11366,7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,03/07/21
67,Alpha Innovations,Display,Women 25-34,Women,25-34,30 days,YouTube,0.07,12910,6.33,Miami,Spanish,839,5569,7,Foodies,03/08/21
68,TechCorp,Search,Women 25-34,Women,25-34,60 days,YouTube,0.12,7823,2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,03/09/21
69,TechCorp,Display,All Ages,All,All Ages,15 days,Facebook,0.03,11864,7.98,Chicago,French,932,9973,9,Tech Enthusiasts,03/10/21
70,Innovate Industries,Email,All Ages,All,All Ages,15 days,Facebook,0.1,17414,4.74,Los Angeles,German,694,2836,2,Foodies,03/11/21
71,Alpha Innovations,Search,Men 25-34,Men,25-34,30 days,Website,0.13,18201,5.58,New York,German,202,6745,8,Tech Enthusiasts,03/12/21
72,Alpha Innovations,Social Media,All Ages,All,All Ages,15 days,Email,0.03,9549,5.61,Chicago,French,416,9187,7,Health & Wellness,13/03/21
73,TechCorp,Social Media,Women 35-44,Women,35-44,15 days,YouTube,0.13,16635,7.46,Miami,English,576,9999,10,Health & Wellness,14/03/21
74,NexGen Systems,Influencer,All Ages,All,All Ages,45 days,Facebook,0.1,9310,5.63,New York,German,300,3687,9,Foodies,15/03/21
75,NexGen Systems,Display,All Ages,All,All Ages,15 days,YouTube,0.11,5158,6.67,Chicago,German,776,4238,3,Health & Wellness,16/03/21
76,Innovate Industries,Search,Men 25-34,Men,25-34,30 days,Instagram,0.04,15182,2.03,Houston,English,492,7364,2,Fashionistas,17/03/21
77,Innovate Industries,Display,Men 18-24,Men,18-24,45 days,Google Ads,0.08,5703,3.23,Chicago,German,763,8501,10,Foodies,18/03/21
78,Innovate Industries,Search,Women 35-44,Women,35-44,60 days,Google Ads,0.02,12008,4.82,Miami,Spanish,817,7892,2,Health & Wellness,19/03/21
79,NexGen Systems,Display,Women 35-44,Women,35-44,45 days,Google Ads,0.13,15850,7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,20/03/21
80,Alpha Innovations,Influencer,Women 25-34,Women,25-34,30 days,Email,0.1,9813,6.57,Miami,French,737,9941,6,Fashionistas,21/03/21
81,Innovate Industries,Influencer,Women 35-44,Women,35-44,60 days,Google Ads,0.14,19300,7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,22/03/21
82,NexGen Systems,Social Media,Women 25-34,Women,25-34,45 days,YouTube,0.12,17772,6.33,New York,English,913,1921,5,Foodies,23/03/21
83,Innovate Industries,Influencer,Women 25-34,Women,25-34,60 days,Facebook,0.1,17293,3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,24/03/21
84,NexGen Systems,Search,All Ages,All,All Ages,60 days,YouTube,0.08,8398,3.99,Miami,English,134,3108,1,Health & Wellness,25/03/21
85,Alpha Innovations,Influencer,Women 35-44,Women,35-44,60 days,Email,0.15,15866,2.3,Houston,French,159,2139,10,Health & Wellness,26/03/21
86,TechCorp,Social Media,All Ages,All,All Ages,30 days,YouTube,0.13,7515,7.38,Houston,Mandarin,635,8489,3,Foodies,27/03/21
87,DataTech Solutions,Email,Women 25-34,Women,25-34,15 days,YouTube,0.15,19026,2.22,Miami,Mandarin,187,2573,10,Fashionistas,28/03/21
88,TechCorp,Search,Men 18-24,Men,18-24,60 days,Facebook,0.14,8280,7.89,New York,German,537,3042,1,Outdoor Adventurers,29/03/21
89,Alpha Innovations,Display,Women 25-34,Women,25-34,30 days,Google Ads,0.1,18251,4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,30/03/21
90,DataTech Solutions,Display,All Ages,All,All Ages,15 days,Instagram,0.07,13108,2.01,Houston,German,550,3839,7,Tech Enthusiasts,31/03/21
91,NexGen Systems,Influencer,Women 35-44,Women,35-44,15 days,YouTube,0.09,15477,6.98,Houston,English,956,9087,3,Foodies,04/01/21
92,TechCorp,Email,Men 25-34,Men,25-34,45 days,Email,0.09,17705,7,New York,Spanish,628,9545,4,Outdoor Adventurers,04/02/21
93,Innovate Industries,Display,Women 35-44,Women,35-44,15 days,Instagram,0.05,18470,2.57,Chicago,English,938,7879,10,Fashionistas,04/03/21
94,NexGen Systems,Display,Men 25-34,Men,25-34,45 days,Instagram,0.01,14438,7.19,New York,French,147,6497,10,Health & Wellness,04/04/21
95,NexGen Systems,Search,Men 18-24,Men,18-24,45 days,Facebook,0.08,6278,4.93,Miami,German,776,4289,8,Foodies,04/05/21
96,TechCorp,Social Media,All Ages,All,All Ages,15 days,Email,0.08,5185,4.61,New York,French,108,9532,1,Tech Enthusiasts,04/06/21
97,Innovate Industries,Email,Women 25-34,Women,25-34,15 days,Instagram,0.14,18799,3.69,Miami,French,395,6079,8,Health & Wellness,04/07/21
98,Alpha Innovations,Search,All Ages,All,All Ages,60 days,Facebook,0.04,7365,7.96,New York,French,419,4484,1,Fashionistas,04/08/21
99,Alpha Innovations,Search,All Ages,All,All Ages,60 days,Instagram,0.02,6565,3.12,New York,French,463,6061,8,Foodies,04/09/21
100,TechCorp,Display,All Ages,All,All Ages,60 days,Facebook,0.09,9022,5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,04/10/21
101,NexGen Systems,Search,Men 25-34,Men,25-34,45 days,YouTube,0.07,18735,4.86,Los Angeles,Spanish,706,8715,6,Foodies,04/11/21
102,TechCorp,Search,Men 18-24,Men,18-24,45 days,YouTube,0.09,9941,4.54,Chicago,English,207,8334,4,Tech Enthusiasts,04/12/21
103,DataTech Solutions,Influencer,Men 18-24,Men,18-24,60 days,Website,0.08,10113,6.87,Houston,English,583,1005,3,Health & Wellness,13/04/21
104,DataTech Solutions,Social Media,Men 18-24,Men,18-24,15 days,Facebook,0.1,8310,7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,14/04/21
105,DataTech Solutions,Influencer,Men 18-24,Men,18-24,30 days,Google Ads,0.06,15073,2.17,Los Angeles,English,387,8035,2,Health & Wellness,15/04/21
106,Innovate Industries,Social Media,Women 25-34,Women,25-34,30 days,Email,0.09,7541,3.35,Chicago,Spanish,560,3439,7,Fashionistas,16/04/21
107,TechCorp,Influencer,Men 25-34,Men,25-34,45 days,Google Ads,0.11,14875,6.5,New York,German,306,1560,3,Health & Wellness,17/04/21
108,TechCorp,Email,All Ages,All,All Ages,45 days,Email,0.06,5514,7.32,Miami,German,740,4550,1,Outdoor Adventurers,18/04/21
109,Innovate Industries,Search,Men 25-34,Men,25-34,30 days,Instagram,0.05,15107,4.79,Houston,Spanish,115,1475,10,Fashionistas,19/04/21
110,Innovate Industries,Social Media,Women 25-34,Women,25-34,15 days,YouTube,0.1,13712,6.4,Chicago,English,366,3843,3,Fashionistas,20/04/21
111,Alpha Innovations,Influencer,All Ages,All,All Ages,60 days,Facebook,0.05,11789,5.39,Houston,German,659,3670,9,Outdoor Adventurers,21/04/21
112,DataTech Solutions,Email,All Ages,All,All Ages,30 days,Website,0.13,18335,7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,22/04/21
113,TechCorp,Display,Women 35-44,Women,35-44,30 days,Google Ads,0.02,19035,2.01,Miami,Mandarin,560,6945,7,Health & Wellness,23/04/21
114,DataTech Solutions,Email,Women 25-34,Women,25-34,15 days,YouTube,0.11,17655,4.04,Los Angeles,English,369,8912,4,Health & Wellness,24/04/21
115,NexGen Systems,Email,Women 25-34,Women,25-34,45 days,Google Ads,0.11,6710,2.72,Houston,German,886,6158,7,Fashionistas,25/04/21
116,NexGen Systems,Social Media,Women 25-34,Women,25-34,15 days,Facebook,0.09,9899,3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,26/04/21
117,Innovate Industries,Email,All Ages,All,All Ages,30 days,Instagram,0.14,7032,7.86,Chicago,Spanish,595,1555,4,Health & Wellness,27/04/21
118,TechCorp,Social Media,All Ages,All,All Ages,45 days,Website,0.05,5174,4.98,Houston,German,438,9741,1,Tech Enthusiasts,28/04/21
119,Innovate Industries,Display,Women 35-44,Women,35-44,15 days,YouTube,0.14,15679,3.71,Los Angeles,German,652,3884,7,Foodies,29/04/21
120,NexGen Systems,Display,All Ages,All,All Ages,45 days,YouTube,0.07,12143,7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,30/04/21
121,Innovate Industries,Email,Women 35-44,Women,35-44,45 days,Facebook,0.02,19329,7.58,Houston,English,841,4536,8,Outdoor Adventurers,05/01/21
122,Innovate Industries,Search,All Ages,All,All Ages,60 days,Email,0.09,8854,6.78,Chicago,German,137,4002,6,Tech Enthusiasts,05/02/21
123,Alpha Innovations,Influencer,Women 35-44,Women,35-44,45 days,YouTube,0.04,5232,7.61,New York,German,850,6515,5,Foodies,05/03/21
124,NexGen Systems,Display,Men 25-34,Men,25-34,30 days,Instagram,0.02,13006,3.7,Chicago,Spanish,727,2863,1,Fashionistas,05/04/21
125,DataTech Solutions,Email,Men 18-24,Men,18-24,45 days,Website,0.13,5653,6.08,Chicago,Mandarin,986,4477,10,Foodies,05/05/21
126,DataTech Solutions,Email,Men 25-34,Men,25-34,45 days,Google Ads,0.02,18169,5.5,Miami,English,259,3941,7,Outdoor Adventurers,05/06/21
127,DataTech Solutions,Social Media,Men 25-34,Men,25-34,45 days,Email,0.08,13316,6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,05/07/21
128,NexGen Systems,Email,All Ages,All,All Ages,15 days,Email,0.08,17847,6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,05/08/21
129,Alpha Innovations,Email,Men 18-24,Men,18-24,45 days,Instagram,0.06,10639,4.32,New York,Spanish,166,5735,10,Health & Wellness,05/09/21
130,Innovate Industries,Display,Men 25-34,Men,25-34,15 days,YouTube,0.03,10945,3.16,Chicago,Spanish,508,8054,6,Fashionistas,05/10/21
131,NexGen Systems,Email,Men 18-24,Men,18-24,15 days,Instagram,0.11,5167,6.63,New York,Spanish,885,1932,7,Fashionistas,05/11/21
132,DataTech Solutions,Influencer,Men 25-34,Men,25-34,60 days,Google Ads,0.15,8300,6.65,Chicago,Spanish,158,4842,4,Outdoor Adventurers,05/12/21
133,Innovate Industries,Social Media,Men 25-34,Men,25-34,15 days,Instagram,0.14,13469,7.54,Houston,German,857,4028,8,Fashionistas,13/05/21
134,TechCorp,Search,Men 25-34,Men,25-34,30 days,Facebook,0.1,19254,2.41,Miami,English,481,1876,7,Foodies,14/05/21
135,DataTech Solutions,Display,All Ages,All,All Ages,60 days,Google Ads,0.04,10704,6.46,Chicago,French,999,7543,8,Tech Enthusiasts,15/05/21
136,NexGen Systems,Email,Men 18-24,Men,18-24,30 days,Email,0.15,9229,3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,16/05/21
137,Alpha Innovations,Social Media,Women 35-44,Women,35-44,60 days,Instagram,0.1,14125,4.9,Houston,Spanish,885,7833,5,Fashionistas,17/05/21
138,DataTech Solutions,Influencer,All Ages,All,All Ages,60 days,Instagram,0.04,8222,6.17,Houston,Mandarin,666,1435,4,Foodies,18/05/21
139,NexGen Systems,Email,Men 18-24,Men,18-24,45 days,Website,0.07,14226,3.77,Chicago,German,359,9440,8,Outdoor Adventurers,19/05/21
140,DataTech Solutions,Email,Men 18-24,Men,18-24,60 days,Website,0.06,18985,4.61,Miami,English,328,8840,5,Fashionistas,20/05/21
141,NexGen Systems,Email,Women 25-34,Women,25-34,15 days,Email,0.08,5599,3.43,Houston,English,571,2404,3,Fashionistas,21/05/21
142,Innovate Industries,Influencer,All Ages,All,All Ages,45 days,Google Ads,0.08,11952,3.48,Houston,English,845,5702,8,Health & Wellness,22/05/21
143,Innovate Industries,Display,Women 35-44,Women,35-44,15 days,Facebook,0.05,14503,3.8,Miami,Mandarin,585,9150,3,Tech Enthusiasts,23/05/21
144,DataTech Solutions,Search,Men 25-34,Men,25-34,45 days,Instagram,0.11,10404,2.41,New York,German,418,3556,2,Tech Enthusiasts,24/05/21
145,TechCorp,Social Media,Men 18-24,Men,18-24,30 days,Email,0.12,7484,5.86,Houston,English,208,8730,2,Outdoor Adventurers,25/05/21
146,TechCorp,Search,Men 25-34,Men,25-34,60 days,Google Ads,0.03,7428,4.72,Houston,Mandarin,556,5179,4,Tech Enthusiasts,26/05/21
147,TechCorp,Influencer,Men 25-34,Men,25-34,15 days,Facebook,0.1,11495,5.13,Los Angeles,French,734,2612,5,Health & Wellness,27/05/21
148,TechCorp,Influencer,All Ages,All,All Ages,30 days,Facebook,0.13,18957,2.83,Los Angeles,Spanish,643,2939,4,Tech Enthusiasts,28/05/21
149,NexGen Systems,Display,Men 18-24,Men,18-24,45 days,Instagram,0.06,10772,2.94,Chicago,English,165,1496,6,Health & Wellness,29/05/21
150,TechCorp,Search,Women 35-44,Women,35-44,60 days,Instagram,0.14,6896,2.15,Houston,German,693,1290,1,Foodies,30/05/21
151,NexGen Systems,Search,Men 18-24,Men,18-24,60 days,Facebook,0.13,13318,2.98,New York,German,261,1415,6,Foodies,31/05/21
152,TechCorp,Influencer,Women 35-44,Women,35-44,60 days,Website,0.06,7031,5.67,Houston,French,404,8033,6,Tech Enthusiasts,06/01/21
153,Alpha Innovations,Display,Women 35-44,Women,35-44,15 days,Instagram,0.06,5466,2.66,Houston,English,257,5756,2,Tech Enthusiasts,06/02/21
154,Innovate Industries,Influencer,All Ages,All,All Ages,30 days,Instagram,0.11,15303,7.41,Chicago,Spanish,901,8712,2,Foodies,06/03/21
155,TechCorp,Social Media,Women 35-44,Women,35-44,30 days,Instagram,0.13,13157,4.41,New York,German,724,9573,6,Fashionistas,06/04/21
156,Innovate Industries,Influencer,All Ages,All,All Ages,15 days,Instagram,0.07,13197,3.31,Los Angeles,French,672,8765,9,Tech Enthusiasts,06/05/21
157,Alpha Innovations,Display,Men 25-34,Men,25-34,30 days,Facebook,0.09,19723,4.74,Houston,Mandarin,148,2746,8,Outdoor Adventurers,06/06/21
158,NexGen Systems,Display,Men 18-24,Men,18-24,60 days,Google Ads,0.12,18903,7.24,Miami,French,488,4253,1,Tech Enthusiasts,06/07/21
159,Alpha Innovations,Display,Women 35-44,Women,35-44,60 days,Website,0.06,17737,4.23,Houston,Spanish,420,8196,4,Foodies,06/08/21
160,DataTech Solutions,Social Media,Women 25-34,Women,25-34,30 days,Instagram,0.08,16981,5.74,Miami,French,395,7469,6,Foodies,06/09/21
161,TechCorp,Search,All Ages,All,All Ages,45 days,Website,0.05,15993,6.55,Miami,English,616,9536,8,Fashionistas,06/10/21
162,DataTech Solutions,Social Media,Men 18-24,Men,18-24,30 days,YouTube,0.07,7893,5.28,Chicago,German,170,6306,9,Foodies,06/11/21
163,TechCorp,Email,Women 25-34,Women,25-34,15 days,Google Ads,0.04,9858,3.09,Los Angeles,Spanish,957,4396,9,Tech Enthusiasts,06/12/21
164,NexGen Systems,Influencer,Women 35-44,Women,35-44,30 days,Email,0.09,6885,7.65,Houston,Spanish,872,3269,1,Tech Enthusiasts,13/06/21
165,TechCorp,Email,Men 25-34,Men,25-34,30 days,Email,0.07,11587,3.17,Houston,English,716,2676,9,Foodies,14/06/21
166,NexGen Systems,Email,All Ages,All,All Ages,30 days,Facebook,0.15,5202,5.94,New York,German,998,5108,3,Fashionistas,15/06/21
167,Innovate Industries,Search,Men 18-24,Men,18-24,15 days,Instagram,0.08,15651,7.24,Los Angeles,English,481,4165,7,Tech Enthusiasts,16/06/21
168,NexGen Systems,Display,All Ages,All,All Ages,30 days,Website,0.12,11879,8,New York,Spanish,568,4997,6,Outdoor Adventurers,17/06/21
169,TechCorp,Influencer,Women 25-34,Women,25-34,60 days,Email,0.03,12183,4.36,Los Angeles,English,421,6087,10,Tech Enthusiasts,18/06/21
170,TechCorp,Search,All Ages,All,All Ages,30 days,Google Ads,0.07,10690,5.41,Los Angeles,English,797,1306,9,Foodies,19/06/21
171,TechCorp,Social Media,Men 25-34,Men,25-34,30 days,Website,0.06,12886,4.62,Miami,Mandarin,668,2507,8,Foodies,20/06/21
172,Innovate Industries,Influencer,Men 25-34,Men,25-34,15 days,Google Ads,0.09,10854,6.1,Houston,English,303,9453,2,Health & Wellness,21/06/21
173,DataTech Solutions,Influencer,All Ages,All,All Ages,15 days,YouTube,0.11,7170,3.76,Los Angeles,German,540,6422,8,Foodies,22/06/21
174,Innovate Industries,Display,Men 25-34,Men,25-34,45 days,Google Ads,0.15,17414,6.9,Los Angeles,French,801,8439,5,Foodies,23/06/21
175,Innovate Industries,Search,Men 18-24,Men,18-24,15 days,Instagram,0.1,12272,5.29,Los Angeles,French,436,7817,7,Outdoor Adventurers,24/06/21
176,Innovate Industries,Social Media,All Ages,All,All Ages,15 days,Website,0.09,6489,2.22,Chicago,English,683,9143,6,Foodies,25/06/21
177,Innovate Industries,Display,Women 35-44,Women,35-44,60 days,YouTube,0.08,19732,6.06,Chicago,English,862,6773,1,Tech Enthusiasts,26/06/21
178,Alpha Innovations,Social Media,All Ages,All,All Ages,45 days,YouTube,0.09,17837,3.84,Houston,English,944,9536,6,Foodies,27/06/21
179,Innovate Industries,Display,All Ages,All,All Ages,45 days,Email,0.13,11954,4.91,Miami,Mandarin,241,9184,8,Foodies,28/06/21
180,Alpha Innovations,Display,Women 35-44,Women,35-44,30 days,Google Ads,0.01,16862,6.29,Chicago,Spanish,200,1513,9,Tech Enthusiasts,29/06/21
181,TechCorp,Display,All Ages,All,All Ages,45 days,Email,0.07,8076,4.29,New York,Mandarin,883,3400,8,Fashionistas,30/06/21
182,DataTech Solutions,Influencer,Women 35-44,Women,35-44,15 days,Facebook,0.06,19143,2.58,Los Angeles,Spanish,690,1087,7,Tech Enthusiasts,07/01/21
